,Neighborhood,Chiropractor,Dentist,Doctor's Office,Family Medicine Doctor,General Surgeon,Health and Medicine,Home Health Care Service,Hospital,Internal Medicine Doctor,Medical Center,Medical Lab,Nursing Home,Nutritionist,Ophthalmologist,Optometrist,Pediatrician,Physical Therapy Clinic,Psychiatrist,Urgent Care Center,Veterinarian
62,Brooklyn Heights,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Brooklyn Heights,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Carroll Gardens,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Carroll Gardens,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Carroll Gardens,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Clinton Hill,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Park Slope,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,City Line,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,City Line,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Spring Creek,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Canarsie,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Flatlands,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Mill Island,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Manhattan Beach,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Coney Island,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Bath Beach,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Kensington,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Dyker Heights,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Gerritsen,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Mill Island,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Clinton Hill,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Coney Island,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Clinton Hill,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Boerum Hill,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Prospect,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Broadway Junction,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,City Line,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Georgetown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Midwood,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Prospect Park Sout,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Georgetown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,East Williamsburg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,South Side,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,South Side,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Ocean Parkway,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Bayridge,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Chinatown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Fort George,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Fort George,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Central Harlem,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Central Harlem,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Central Harlem,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Spanish Harlem,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Lenox Hill,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Upper East Side,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Lenox Hill,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Lenox Hill,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Upper West Side,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Lincoln Square,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Midtown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,East Side,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,East Side,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
